timestamp,open,high,low,close,volume
2025-11-15 08:48:06.136,96352.0,96369.0,95660.0,95935.0,1108.54743
2025-11-15 09:48:06.136,95936.0,96152.0,95684.0,95827.0,367.71521
2025-11-15 10:48:06.136,95828.0,96082.0,95702.0,95962.0,409.73461
2025-11-15 11:48:06.136,95963.0,95993.0,95638.0,95717.0,455.96005
2025-11-15 12:48:06.136,95718.0,95902.0,95585.0,95830.0,423.99355
2025-11-15 13:48:06.136,95831.0,96400.0,95743.0,96395.0,900.10602
2025-11-15 14:48:06.136,96395.0,96511.0,96063.0,96284.0,694.889
2025-11-15 15:48:06.136,96285.0,96470.0,96156.0,96283.0,568.27063
2025-11-15 16:48:06.136,96284.0,96365.0,95716.0,96152.0,2830.54263
2025-11-15 17:48:06.136,96153.0,96395.0,95828.0,96219.0,867.73451
2025-11-15 18:48:06.136,96219.0,96353.0,95957.0,96047.0,435.66152
2025-11-15 19:48:06.136,96047.0,96150.0,95915.0,96007.0,299.40345
2025-11-15 20:48:06.136,96007.0,96021.0,95115.0,95277.0,1609.05797
2025-11-15 21:48:06.136,95277.0,95691.0,95121.0,95282.0,1430.76548
2025-11-15 22:48:06.136,95282.0,95661.0,95219.0,95617.0,1158.5157
2025-11-15 23:48:06.136,95616.0,95680.0,95480.0,95592.0,473.11584
2025-11-16 00:48:06.136,95593.0,95704.0,95201.0,95368.0,787.90064
2025-11-16 01:48:06.136,95369.0,95503.0,94838.0,95274.0,1331.35632
2025-11-16 02:48:06.136,95274.0,95972.0,95099.0,95972.0,629.21211
2025-11-16 03:48:06.136,95972.0,95984.0,95631.0,95809.0,456.7633
2025-11-16 04:48:06.136,95816.0,95940.0,95651.0,95826.0,291.32414
2025-11-16 05:48:06.136,95826.0,96207.0,95814.0,95883.0,1252.23207
2025-11-16 06:48:06.136,95883.0,96036.0,95740.0,95791.0,331.36534
2025-11-16 07:48:06.136,95791.0,96100.0,95722.0,96100.0,290.33369
2025-11-16 08:48:06.136,96100.0,96254.0,95848.0,96121.0,641.04956
2025-11-16 09:48:06.136,96121.0,96654.0,95932.0,96653.0,1277.02466
2025-11-16 10:48:06.136,96653.0,96654.0,96412.0,96478.0,757.89246
2025-11-16 11:48:06.136,96477.0,96478.0,95523.0,95665.0,1827.46836
2025-11-16 12:48:06.136,95664.0,95938.0,95483.0,95777.0,1130.51633
2025-11-16 13:48:06.136,95778.0,95874.0,95141.0,95425.0,895.80186
2025-11-16 14:48:06.136,95425.0,95700.0,95322.0,95551.0,419.25917
2025-11-16 15:48:06.136,95550.0,95576.0,94395.0,94589.0,1134.73368
2025-11-16 16:48:06.136,94589.0,94973.0,94041.0,94242.0,2278.4196
2025-11-16 17:48:06.136,94241.0,94555.0,93756.0,94361.0,3526.31575
2025-11-16 18:48:06.136,94362.0,95578.0,93780.0,94054.0,4469.16809
2025-11-16 19:48:06.136,94054.0,94602.0,93959.0,94045.0,1549.63984
2025-11-16 20:48:06.136,94044.0,94745.0,93976.0,94100.0,954.28322
